
10	50
750	150
4000	1000
472.766	502.42
256.347	67.0242	306	5000
538.77	832.43	305	9905
275.779	199.964	363	5057
734.237	486.031	310	3100
297.695	145.17	329	7275
681.873	411.344	353	6809
378.875	623.408	354	7549
119.697	171.359	326	5006
400.265	470.57	393	6542
607.18	230.968	379	11333
689.676	406.854	8
719.875	693.954	17
479.646	264.831	9
524.506	505.215	3
409.809	947.491	22
317.135	973.796	15
583.451	432.654	11
648.372	448.245	14
285.22	904.896	9
617.694	601.993	8
791.048	592.8	17
652.677	732.185	13
594.479	373.373	19
498.562	530.466	10
728.7	287.216	16
881.039	623.36	16
511.302	348.512	14
407.464	417.567	23
889.336	472.195	19
166.02	258.672	14
134.302	487.083	9
659.514	651.197	14
494.274	442.485	12
745.839	454.387	11
394.788	246.583	16
666.12	159.099	10
611.336	505.832	4
547.105	261.657	12
583.802	82.5475	17
909.519	586.465	19
578.264	284.248	16
315.79	415.737	18
196.767	823.169	13
433.677	629.387	22
341.347	728.653	12
539.773	409.979	15
463.073	367.733	12
358.818	545.972	19
254.711	811.635	10
565.137	912.158	19
518.248	484.56	15
712.58	313.602	14
168.715	274.988	15
89.9311	937.875	18
341.053	579.655	13
357.998	248.177	13
626.124	666.103	8
608.945	409.839	19
616.345	618.347	10
419.018	231.632	9
