
5	50
750	100
4000	1000
665.118	125.698
600.656	503.332	373	7041
469.966	356.072	369	6994
468.705	627.231	345	3450
294.486	905.849	348	7081
652.129	723.145	335	3350
918.283	709.536	26
577.06	134.427	20
575.991	271.526	16
579.94	694.336	18
660.582	356.212	19
236.192	174.807	10
484.405	572.263	8
600.786	740.53	17
892.965	592.959	14
287.499	391.33	19
437.226	699.173	9
499.022	721.307	13
279.812	807.543	19
328.354	457.081	3
365.208	344.893	19
737.698	785.66	9
357.351	501.733	7
438.39	414.691	19
969.968	572.002	23
631.052	133.572	10
423.349	740.151	19
873.183	145.156	22
502.492	407.532	13
377.464	254.122	9
533.624	291.449	14
727.736	173.967	15
780.941	361.081	18
193.509	176.537	19
500.758	720.05	21
460.849	31.469	19
941.974	280.071	10
451.192	408.811	10
944.965	790.308	14
342.055	678.084	6
346.394	538.299	10
441.908	662.78	16
125.982	560.813	17
808.486	277.13	8
787.129	301.416	12
32.5763	563.27	22
314.635	21.182	11
486.403	436.087	12
405.04	347.062	24
61.8595	860.648	15
568.283	524.761	14
517.12	10.6134	19
672.666	374.593	16
367.267	552.267	14
680.187	322.977	22
482.451	73.7849	17
